"SP","sci.x","pest","genus.1","severity","clean_pest","genus2","FIA..Code","code.x","Common.Name","Genus.x","Species.x","genus","FIA  Code","code.y","Common Name","Genus.y","Species.y","sci.y"
"CHALK MAPLE","ACER LEUCODERME","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",323,"ACLE","CHALK MAPLE","Acer","leucoderme","acer","0323","ACLE","chalk maple","Acer","leucoderme","ACER LEUCODERME"
"CHERRYBARK OAK","QUERCUS PAGODA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",813,"QUPA5","CHERRYBARK OAK","Quercus","pagoda","quercus","0813","QUPA5","cherrybark oak","Quercus","pagoda","QUERCUS PAGODA"
"CHERRYBARK OAK","QUERCUS PAGODA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",813,"QUPA5","CHERRYBARK OAK","Quercus","pagoda","quercus","0813","QUPA5","cherrybark oak","Quercus","pagoda","QUERCUS PAGODA"
"CHESTNUT OAK","QUERCUS PRINUS","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",832,"QUPR2","CHESTNUT OAK","Quercus","prinus","quercus","0832","QUPR2","chestnut oak","Quercus","prinus","QUERCUS PRINUS"
"CHESTNUT OAK","QUERCUS PRINUS","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",832,"QUPR2","CHESTNUT OAK","Quercus","prinus","quercus","0832","QUPR2","chestnut oak","Quercus","prinus","QUERCUS PRINUS"
"CHIHUAHUA PINE","PINUS LEIOPHYLLA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",118,"PILE","CHIHUAHUA PINE","","leiophylla","","0118","PILE","Chihuahua pine","","leiophylla","PINUS LEIOPHYLLA"
"CHIHUAHUA PINE","PINUS LEIOPHYLLA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",118,"PILE","CHIHUAHUA PINE","","leiophylla","","0118","PILE","Chihuahua pine","","leiophylla","PINUS LEIOPHYLLA"
"CHINKAPIN OAK","QUERCUS MUEHLENBERGII","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",826,"QUMU","CHINKAPIN OAK","Quercus","muehlenbergii","quercus","0826","QUMU","chinkapin oak","Quercus","muehlenbergii","QUERCUS MUEHLENBERGII"
"CHINKAPIN OAK","QUERCUS MUEHLENBERGII","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",826,"QUMU","CHINKAPIN OAK","Quercus","muehlenbergii","quercus","0826","QUMU","chinkapin oak","Quercus","muehlenbergii","QUERCUS MUEHLENBERGII"
"COASTAL PLAIN WILLOW","SALIX CAROLINIANA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",1,"Anoplophora glabripennis","Salix",925,"SACA5","COASTAL PLAIN WILLOW","Salix","caroliniana","salix","0925","SACA5","coastal plain willow","Salix","caroliniana","SALIX CAROLINIANA"
"COASTAL PLAIN WILLOW","SALIX CAROLINIANA","Gypsy Moth (Lymantria dispar dispar)","I/F",3,"Lymantria dispar","Salix",925,"SACA5","COASTAL PLAIN WILLOW","Salix","caroliniana","salix","0925","SACA5","coastal plain willow","Salix","caroliniana","SALIX CAROLINIANA"
"COCKSPUR HAWTHORN","CRATAEGUS CRUS-GALLI","Cherry bark tortrix (Enarmonia formosana)*","I/B",3,"Enarmonia formosana","Crataegus",501,"CRCR2","COCKSPUR HAWTHORN","","crus-galli","","0501","CRCR2","cockspur hawthorn","","crus-galli","CRATAEGUS CRUS-GALLI"
"COCKSPUR HAWTHORN","CRATAEGUS CRUS-GALLI","Winter moth (Operophtera brumata)*","I/F",1,"Operophtera brumata","Crataegus",501,"CRCR2","COCKSPUR HAWTHORN","","crus-galli","","0501","CRCR2","cockspur hawthorn","","crus-galli","CRATAEGUS CRUS-GALLI"
"COCKSPUR HAWTHORN","CRATAEGUS CRUS-GALLI","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Crataegus",501,"CRCR2","COCKSPUR HAWTHORN","","crus-galli","","0501","CRCR2","cockspur hawthorn","","crus-galli","CRATAEGUS CRUS-GALLI"
"COMMON PINYON, TWO-NEEDLE","PINUS EDULIS","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",106,"PIED","COMMON PINYON, TWO-NEEDLE","","edulis","","0106","PIED","Common pinyon, two-needle","","edulis","PINUS EDULIS"
