"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1641",0,2138,2138,2823,0,3008,0,0,0
"1642",0,2139,2139,2824,0,3009,0,0,0
"1643",0,2140,2140,2825,0,3010,0,0,0
"1644",0,2141,2141,2826,0,3011,0,0,0
"1645",0,2142,2142,2827,0,3012,0,0,0
"1646",0,2143,2143,2828,0,3014,0,0,0
"1647",0,2144,2144,2829,0,3015,0,0,0
"1648",0,2145,2145,2830,0,3016,0,0,0
"1649",0,2146,2146,2831,0,3017,0,0,0
"1650",0,2148,2148,2836,0,3018,0,0,0
"1651",0,2149,2149,2839,0,3019,0,0,0
"1652",0,2150,2150,2840,0,3022,0,0,0
"1653",0,2151,2151,2842,0,3035,0,0,0
"1654",0,2154,2154,2843,0,3041,0,0,0
"1655",0,2155,2155,2844,0,3042,0,0,0
"1656",0,2156,2156,2845,0,3048,0,0,0
"1657",0,2157,2157,2846,0,3049,0,0,0
"1658",0,2158,2158,2847,0,3050,0,0,0
"1659",0,2159,2159,2848,0,3051,0,0,0
"1660",0,2160,2160,2849,0,3052,0,0,0
"1661",0,2161,2161,2850,0,3053,0,0,0
"1662",0,2164,2164,2851,0,3056,0,0,0
"1663",0,2165,2165,2852,0,3057,0,0,0
"1664",0,2168,2168,2853,0,3058,0,0,0
"1665",0,2171,2171,2854,0,3059,0,0,0
"1666",0,2173,2173,2855,0,3061,0,0,0
