"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
-0.09714943,-0.09714943,-0.09714943,-0.09714943,-0.09714943,-0.09714943,-0.09714943,-0.09714943,-0.09714943,-0.09714943,-0.09714943,-0.09714943,-0.08467572,-0.07622663,-0.07166233,-0.06581659,-0.04584763,-0.03352413,-0.01502958,0.00773654,0.03420008
-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10459899,-0.10474524,-0.10369424,-0.10326978,-0.10144743,-0.10025163,-0.09915021,-0.09661369,-0.09596908
-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10539298,-0.10459899,-0.10474524,-0.10369424,-0.10326978,-0.10144743,-0.10025163,-0.09915021,-0.09661369,-0.09596908
-0.10455418,-0.10455418,-0.10455418,-0.10455418,-0.10455418,-0.10455418,-0.10455418,-0.10455418,-0.10455418,-0.10455418,-0.10455418,-0.10455418,-0.10436056,-0.10373197,-0.10353858,-0.10337612,-0.10250287,-0.10204669,-0.10140505,-0.09930746,-0.09715083
-0.08761775,-0.08761775,-0.08761775,-0.08761775,-0.08761775,-0.08761775,-0.08761775,-0.08761775,-0.08761775,-0.08761775,-0.08761775,-0.08761775,-0.06798807,-0.05950938,-0.04892094,-0.04363412,-0.01989376,-0.00731189,0.01016748,0.03086607,0.04681596
-0.10103337,-0.10103337,-0.10103337,-0.10103337,-0.10103337,-0.10103337,-0.10103337,-0.10103337,-0.10103337,-0.10103337,-0.10103337,-0.10103337,-0.09876422,-0.09730405,-0.09523588,-0.09253393,-0.0862612,-0.08203491,-0.0742733,-0.06214931,-0.05687245
-0.0994927,-0.0994927,-0.0994927,-0.0994927,-0.0994927,-0.0994927,-0.0994927,-0.0994927,-0.0994927,-0.0994927,-0.0994927,-0.0994927,-0.0920502,-0.08908159,-0.08569403,-0.08308622,-0.07418141,-0.06879911,-0.05752092,-0.04229391,-0.02734195
-0.10106321,-0.10106321,-0.10106321,-0.10106321,-0.10106321,-0.10106321,-0.10106321,-0.10106321,-0.10106321,-0.10106321,-0.10106321,-0.10106321,-0.10022243,-0.09961266,-0.09822316,-0.09703006,-0.09218032,-0.0860105,-0.07950313,-0.07016392,-0.06145498
0.48243465,0.48243465,0.48243465,0.48243465,0.48243465,0.48243465,0.48243465,0.48243465,0.48243465,0.48243465,0.48243465,0.48243465,0.62102104,0.78323802,1.01424421,1.02276425,1.30785965,1.28998396,1.29358264,1.25340546,1.36736392
-0.10281283,-0.10281283,-0.10281283,-0.10281283,-0.10281283,-0.10281283,-0.10281283,-0.10281283,-0.10281283,-0.10281283,-0.10281283,-0.10281283,-0.09967513,-0.09847989,-0.09466346,-0.09170344,-0.08317227,-0.0809533,-0.07281813,-0.05879527,-0.04940653
-0.10467339,-0.10467339,-0.10467339,-0.10467339,-0.10467339,-0.10467339,-0.10467339,-0.10467339,-0.10467339,-0.10467339,-0.10467339,-0.10467339,-0.10315813,-0.10303956,-0.10054187,-0.0993975,-0.09775799,-0.09732077,-0.09585161,-0.09389401,-0.09339814
-0.10541824,-0.10541824,-0.10541824,-0.10541824,-0.10541824,-0.10541824,-0.10541824,-0.10541824,-0.10541824,-0.10541824,-0.10541824,-0.10541824,-0.10471812,-0.10491248,-0.10373439,-0.1033426,-0.10222024,-0.10133906,-0.10031542,-0.09821248,-0.09751256
-0.10508775,-0.10508775,-0.10508775,-0.10508775,-0.10508775,-0.10508775,-0.10508775,-0.10508775,-0.10508775,-0.10508775,-0.10508775,-0.10508775,-0.10494923,-0.10523988,-0.10499595,-0.10414284,-0.10368944,-0.1024502,-0.1015155,-0.0993773,-0.09766658
-0.09783405,-0.09783405,-0.09783405,-0.09783405,-0.09783405,-0.09783405,-0.09783405,-0.09783405,-0.09783405,-0.09783405,-0.09783405,-0.09783405,-0.0963611,-0.09413148,-0.09257985,-0.0901067,-0.0776665,-0.06653479,-0.05455367,-0.03621336,-0.01386395
-0.10540623,-0.10540623,-0.10540623,-0.10540623,-0.10540623,-0.10540623,-0.10540623,-0.10540623,-0.10540623,-0.10540623,-0.10540623,-0.10540623,-0.10441311,-0.10469669,-0.1031447,-0.10265376,-0.10103645,-0.09978143,-0.09825653,-0.09530399,-0.09437196
-0.08498464,-0.08498464,-0.08498464,-0.08498464,-0.08498464,-0.08498464,-0.08498464,-0.08498464,-0.08498464,-0.08498464,-0.08498464,-0.08498464,-0.07017688,-0.05596427,-0.03884493,-0.03082364,0.02296016,0.05922877,0.0999332,0.12666557,0.17625725
-0.09798909,-0.09798909,-0.09798909,-0.09798909,-0.09798909,-0.09798909,-0.09798909,-0.09798909,-0.09798909,-0.09798909,-0.09798909,-0.09798909,-0.08464171,-0.07537575,-0.07217266,-0.06617168,-0.04502191,-0.02747619,-0.0057937,0.02104367,0.05494198
0.85176729,0.85176729,0.85176729,0.85176729,0.85176729,0.85176729,0.85176729,0.85176729,0.85176729,0.85176729,0.85176729,0.85176729,1.0635486,1.31669846,1.68662253,1.70018126,2.13813872,2.13846779,2.14620656,2.07724402,2.24068806
-0.0872397,-0.0872397,-0.0872397,-0.0872397,-0.0872397,-0.0872397,-0.0872397,-0.0872397,-0.0872397,-0.0872397,-0.0872397,-0.0872397,-0.06406245,-0.05485888,-0.0433651,-0.03856836,-0.01402731,-0.0034739,0.00834669,0.02053,0.03113454
-0.10487683,-0.10487683,-0.10487683,-0.10487683,-0.10487683,-0.10487683,-0.10487683,-0.10487683,-0.10487683,-0.10487683,-0.10487683,-0.10487683,-0.10476821,-0.10495163,-0.10485689,-0.10407034,-0.10335067,-0.10177403,-0.10056752,-0.09800299,-0.09569036
-0.10239634,-0.10239634,-0.10239634,-0.10239634,-0.10239634,-0.10239634,-0.10239634,-0.10239634,-0.10239634,-0.10239634,-0.10239634,-0.10239634,-0.10083946,-0.0996848,-0.09827322,-0.09634681,-0.09187186,-0.08935492,-0.08516858,-0.07808088,-0.07521388
